k,sigma,agg,n_targets,n_trials,n_universe_clips,n_universe_frames,pool_size,num_frames,attack3_blind_half,attack3_aware_half,attack3_gain_half,attack3_gain_ratio,attack3_blind_int,attack3_aware_int,target_clip_top1_acc,blind_plurality_clip_acc,target_clip_mean_rank,target_clip_median_rank,clip_top1_chance,noise_mode,noise_clip_frac
0,0.050000,sum,15,5,400,6400,2000,16,0.551667,0.573333,0.021667,1.039275,0.551667,0.573333,0.573333,0.586667,6.400000,1.000000,0.002500,iid,0.500000
0,0.100000,sum,15,5,400,6400,2000,16,0.445833,0.466667,0.020833,1.046729,0.445833,0.466667,0.466667,0.466667,4.626667,4.000000,0.002500,iid,0.500000
0,0.250000,sum,15,5,400,6400,2000,16,0.482500,0.480000,-0.002500,0.994819,0.482500,0.480000,0.480000,0.506667,5.680000,2.000000,0.002500,iid,0.500000
0,0.500000,sum,15,5,400,6400,2000,16,0.493333,0.533333,0.040000,1.081081,0.493333,0.533333,0.533333,0.533333,3.520000,1.000000,0.002500,iid,0.500000
