k,sigma,agg,n_targets,n_trials,n_universe_clips,n_universe_frames,pool_size,num_frames,attack3_blind_half,attack3_aware_half,attack3_gain_half,attack3_gain_ratio,attack3_blind_int,attack3_aware_int,target_clip_top1_acc,blind_plurality_clip_acc,target_clip_mean_rank,target_clip_median_rank,clip_top1_chance,noise_mode,noise_clip_frac
0,0.100000,sum,15,5,400,6400,2000,16,0.537500,0.573333,0.035833,1.066667,0.537500,0.573333,0.573333,0.573333,6.493333,1.000000,0.002500,clip,1.000000
0,0.250000,sum,15,5,400,6400,2000,16,0.460833,0.480000,0.019167,1.041591,0.460833,0.480000,0.480000,0.480000,4.546667,4.000000,0.002500,clip,1.000000
